x,y,sensor_value,acc_weight,acc_weight_reading,confidence,acc_variance,variance
100.0,1300.0,0.23,1.3169689187169687e-05,8.925012053911739e-07,0.9687700352073231,6.473014504114785e-10,0.0
100.0,1350.0,0.23,1.4295899351006176e-05,9.80243386639924e-07,0.9831698457525895,7.354130232248411e-10,0.0
100.0,1400.0,0.23,1.4331550534485469e-05,9.912849253782044e-07,0.983509664790788,7.548238656189651e-10,0.0
100.0,1450.0,0.23,1.3118236461663925e-05,9.133991627693574e-07,0.9679142904038223,6.987253476426822e-10,0.0
100.0,1500.0,0.24,1.088864101811063e-05,7.621379913241609e-07,0.9064803900211162,5.82544834208665e-10,0.01
100.0,1550.0,0.24,8.161982448387062e-06,5.737581891360394e-07,0.7358988472821153,4.369731549618951e-10,0.04
100.0,1600.0,0.24,5.511280668810218e-06,3.8886064947506936e-07,0.45504796722646623,2.9466134959869763e-10,0.07
100.0,1650.0,0.24,3.3471125728906e-06,2.3694475987258254e-07,0.2006095944900803,1.7850709538901384e-10,0.11
100.0,1700.0,0.24,1.8265190912582238e-06,1.2969615123157348e-07,0.06450227298260347,9.710412055011194e-11,0.13
150.0,0.0,0.24,1.3236097762831606e-06,7.515434167267915e-08,0.03440833395719223,3.215123619820676e-11,0.13
150.0,50.0,0.24,1.7823991343772254e-06,1.0060335825778149e-07,0.061520525683103955,4.3477195840257825e-11,0.13
150.0,100.0,0.24,2.2198214460332486e-06,1.2461806639265307e-07,0.09378881747209078,5.4504224237795034e-11,0.12
150.0,150.0,0.23,2.5788210928295117e-06,1.4411523575838576e-07,0.12445866939658079,6.392234937276117e-11,0.12
150.0,200.0,0.23,2.8258249702340312e-06,1.5736535954681298e-07,0.14750977254204978,7.086772702507074e-11,0.12
150.0,250.0,0.23,2.9624120485559898e-06,1.6458159381585286e-07,0.16087398923365792,7.505095928561823e-11,0.11
150.0,300.0,0.23,3.021826875517786e-06,1.6771864217370856e-07,0.16681572823825863,7.654717154811372e-11,0.11
150.0,350.0,0.23,3.0530900941805005e-06,1.6963806508769358e-07,0.1699723016383602,7.544045004268577e-11,0.11
150.0,400.0,0.23,3.102692037257003e-06,1.7312541197397147e-07,0.17502210915648186,7.163600075078232e-11,0.11
150.0,450.0,0.23,3.2050261550592376e-06,1.8031532522238027e-07,0.185596648269287,6.501729800488134e-11,0.11
150.0,500.0,0.23,3.3860288391397413e-06,1.9279418129894582e-07,0.2047849737114561,5.582244076122679e-11,0.11
150.0,550.0,0.23,3.673307412144153e-06,2.1209196500302142e-07,0.23637172015490382,4.4903868374220327e-11,0.1
150.0,600.0,0.23,4.098764808137118e-06,2.398359454192157e-07,0.2852063665964748,3.3618414242253567e-11,0.1
150.0,650.0,0.22,4.684441624307472e-06,2.770147519876132e-07,0.35504293458760816,2.3401111876464925e-11,0.09
150.0,700.0,0.22,5.418204424959426e-06,3.226593254141342e-07,0.4438550331007818,1.5328112311584826e-11,0.08
150.0,750.0,0.21,6.240074576986645e-06,3.7309575616900794e-07,0.5407789001185803,9.969899563706241e-12,0.06
150.0,800.0,0.21,7.056790880831693e-06,4.228069744695713e-07,0.6303749739989581,7.635955041922872e-12,0.05
150.0,850.0,0.21,7.780606056848172e-06,4.6671683785336574e-07,0.701774685685695,8.927340339161168e-12,0.04
